
2025/02/27 (10:04:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (11:01:28) | ===> btop++ v.1.4.0
2025/02/27 (11:01:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (11:01:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (11:45:43) | ===> btop++ v.1.4.0
2025/02/27 (11:45:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (11:45:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (14:33:26) | ===> btop++ v.1.4.0
2025/02/27 (14:33:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (14:33:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (14:33:31) | ===> btop++ v.1.4.0
2025/02/27 (14:33:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (14:33:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (14:33:36) | ===> btop++ v.1.4.0
2025/02/27 (14:33:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (14:33:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (14:34:26) | ===> btop++ v.1.4.0
2025/02/27 (14:34:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (14:34:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (09:36:10) | ===> btop++ v.1.4.0
2025/03/03 (09:36:10) | WARNING: Failed to join _runner thread on exit!
